"service","repo_root","file","image_fields","port_fields"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docs\COMPOSE_MERGED_SNAPSHOT.yaml","    image: traefik/whoami:v1.10.2 |     image: traefik/whoami:v1.10.2 |     image: traefik:v3.1 |     image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:ui-backend-dev |     image: postgres:14",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\10-nginx.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:nginx-1.25","      targetPort: 80"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\20-bootstrap.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-dev","      targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\30-provision.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:provision-dev","      targetPort: 9016"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\40-reports.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-dev","      targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\50-alarms.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-dev","      targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\60-re.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-dev","      targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\70-postgres-writer.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgwriter-dev","              port: 8080 |               port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\71-postgres-reader.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:postgres-reader-dev","              port: 8080 |               port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\72-alarms.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa","      port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\72-timescale-writer.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:timescale-writer-dev","      targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\73-timescale-reader.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:timescale-reader-dev","      targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\alarms-deploy.yaml","        image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa","            port: 8080 |             port: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\bootstrap-deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-826865e",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\infra-nats.yaml","          image: nats:2.10-alpine","      port: 4222 |       targetPort: 4222 |       port: 8222 |       targetPort: 8222"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\mqtt-adapter-deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:mqtt-adapter-6ef9ab76ddc260750347cbeebe5614db703cfae9","      port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\patch-alarms-hardening.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa","              port: 8080 |               port: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\patch-alarms-image.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\patch-bootstrap-image.yaml","        image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-826865e",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\patch-mqtt-adapter-hardening.yaml","        image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:mqtt-adapter-6ef9ab76ddc260750347cbeebe5614db703cfae9",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\patch-re-hardening.yaml","        image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-ca73523145c4c1afa6cbcb9994f3c1fc4c589841",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\patch-reports-hardening.yaml","        image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-45075eec054539fa282129e171c954a264cc845d",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\pgreader-deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgreader-dev","      targetPort: 8080"
